"name","alias_of","tlb","doc_category","doc_opcode","doc_fift","doc_stack","doc_gas","doc_description","","",""
"BREMREFS","","#CF36","cell_build","CF36","BREMREFS","b - y'","26","아직 `b`에 저장할 수 있는 참조 수를 반환합니다.","","",""
"BREMBITREFS","","#CF37","cell_build","CF37","BREMBITREFS","b - x' y'","26","'b'에 저장할 수 있는 데이터 비트와 참조의 수를 모두 반환합니다.","","",""
"BCHKBITS","","#CF38 cc:uint8","cell_build","CF38cc","[cc+1] BCHKBITS#","b -","34/84","0 <= cc <= 255`에서 `cc+1` 비트를 `b`에 저장할 수 있는지 확인합니다.","","",""
"BCHKBITS_VAR","","#CF39","cell_build","CF39","BCHKBITS","b x - ","26/76","x` 비트를 `b`, `0 <= x <= 1023`에 저장할 수 있는지 확인합니다. 만약 `b`에 `x` 비트를 더 저장할 공간이 없거나 `x`가 `0...1023` 범위 내에 있지 않으면 예외를 던집니다.","","",""
"BCHKREFS","","#CF3A","cell_build","CF3A","BCHKREFS","b y - ","26/76","y` 참조를 `b`, `0 <= y <= 7`에 저장할 수 있는지 확인합니다.","","",""
"BCHKBITREFS","","#CF3B","cell_build","CF3B","BCHKBITREFS","b x y - ","26/76","x` 비트와 `y` 참조를 `b`, `0 <= x <= 1023`, `0 <= y <= 7`에 저장할 수 있는지 확인합니다.","","",""
"BCHKBITSQ","","#CF3C cc:uint8","cell_build","CF3Ccc","[cc+1] BCHKBITSQ#","b - ?","34","0 <= cc <= 255`에서 `cc+1` 비트를 `b`에 저장할 수 있는지 확인합니다.","","",""
"BCHKBITSQ_VAR","","#CF3D","cell_build","CF3D","BCHKBITSQ","b x - ?","26","x` 비트를 `b`, `0 <= x <= 1023`에 저장할 수 있는지 확인합니다.","","",""
"BCHKREFSQ","","#CF3E","cell_build","CF3E","BCHKREFSQ","b y - ?","26","y` 참조를 `b`, `0 <= y <= 7`에 저장할 수 있는지 확인합니다.","","",""
"BCHKBITREFSQ","","#CF3F","cell_build","CF3F","BCHKBITREFSQ","b x y - ?","26","x` 비트와 `y` 참조를 `b`, `0 <= x <= 1023`, `0 <= y <= 7`에 저장할 수 있는지 확인합니다.","","",""
"STZEROES","","#CF40","cell_build","CF40","STZEROES","b n - b'","26","빌더_ `b`에 `n` 이진 0을 저장합니다.","","",""
"STONES","","#CF41","cell_build","CF41","STONES","b n - b'","26","이진 `n`을 _Builder_ `b`에 저장합니다.","","",""
"STSAME","","#CF42","cell_build","CF42","STSAME","b n x - b'","26","n` 이진 `x`(`0 <= x <= 1`)를 _Builder_ `b`에 저장합니다.","","",""
"STSLICECONST","","#CFC0_ x:(## 2) y:(## 3) c:(x * ^Cell) sss:((8 * y + 2) * Bit)","cell_build","CFC0_xysss","[slice] STSLICECONST","b - b'","24","상수 서브슬리스 `sss`를 저장합니다.
세부 정보:_ `sss`는 `0 <= x <= 3` 참조와 최대 `8y+2` 데이터 비트(`0 <= y <= 7`)로 구성됩니다. 완료 비트가 가정됩니다.
슬라이스가 너무 크면 어셈블러가 `STSLICECONST`를 `PUSHSLICE` `STSLICER`로 대체할 수 있습니다.","","",""
"STZERO","STSLICECONST","#CF81","cell_build","CF81","STZERO","b - b'","24","이진 0을 하나 저장합니다.","","",""
"STONE","STSLICECONST","#CF83","cell_build","CF83","STONE","b - b'","24","바이너리 하나를 저장합니다.","","",""
"CTOS","","#D0","cell_parse","D0","CTOS","c - s","118/43","셀_을 _슬라이스_로 변환합니다. c`는 일반 셀이거나 자동으로 _로드_되어 일반 셀 `c'`를 생성하고 나중에 _슬라이스_로 변환되는 이색 셀이어야 한다는 점에 유의하세요.","","",""
"ENDS","","#D1","cell_parse","D1","ENDS","s - ","18/68","스택에서 _슬라이스_ `s`를 제거하고, 비어 있지 않으면 예외를 던집니다.","","",""
"LDI","","#D2 cc:uint8","cell_parse","D2cc","[cc+1] LDI","s - x s'","26","슬라이스_ `s`에서 부호화된 `cc+1` 비트 정수 `x`를 로드(즉, 구문 분석)하고 `s`의 나머지를 `s'`로 반환합니다.","","",""
"LDU","","#D3 cc:uint8","cell_parse","D3cc","[cc+1] LDU","s - x s'","26","슬라이스_ `s`에서 부호 없는 `cc+1` 비트 정수 `x`를 로드합니다.","","",""
"LDREF","","#D4","cell_parse","D4","LDREF","s - c s'","18","s`에서 셀 참조 `c`를 로드합니다.","","",""
"LDREFRTOS","","#D5","cell_parse","D5","LDREFRTOS","s - s' s''","118/43","LDREF` `SWAP` `CTOS`에 해당합니다.","","",""
"LDSLICE","","#D6 cc:uint8","cell_parse","D6cc","[cc+1] LDSLICE","s - s'' s'","26","다음 `cc+1` 비트의 `s`를 별도의 _Slice_ `s''`로 잘라냅니다.","","",""
"LDIX","","#D700","cell_parse","D700","LDIX","s l - x s'","26","슬라이스_ `s`에서 부호화된 `l`비트(`0 <= l <= 257`) 정수 `x`를 로드하고 `s`의 나머지를 `s'`로 반환합니다.","","",""
"LDUX","","#D701","cell_parse","D701","LDUX","s l - x s'","26","0 <= l <= 256`인 (`s`의 첫 번째 `l` 비트) `x`에서 부호 없는 `l` 비트 정수 `x`를 로드합니다.","","",""
"PLDIX","","#D702","cell_parse","D702","PLDIX","s l - x","26","슬라이스_ `s`에서 `0 <= l <= 257`에 대해 부호화된 `l`비트 정수를 미리 로드합니다.","","",""
"PLDUX","","#D703","cell_parse","D703","PLDUX","s l - x","26","0 <= l <= 256`에 대해 `s`에서 부호 없는 `l`비트 정수를 미리 로드합니다.","","",""
"LDIXQ","","#D704","cell_parse","D704","LDIXQ","s l - x s' -1 or s 0","26","LDIX`의 조용한 버전: `LDIX`와 유사하게 `s`에서 부호 있는 `l` 비트 정수를 로드하지만, 셀 언더플로 예외를 발생시키는 대신 성공 시 `-1`, 실패 시 `0`(`s`에 `l` 비트가 없는 경우)과 같은 성공 플래그를 반환합니다.","","",""
"LDUXQ","","#D705","cell_parse","D705","LDUXQ","s l - x s' -1 or s 0","26","조용한 버전의 `LDUX`.","","",""
"PLDIXQ","","#D706","cell_parse","D706","PLDIXQ","s l - x -1 or 0","26","조용한 버전의 `PLDIX`.","","",""
"PLDUXQ","","#D707","cell_parse","D707","PLDUXQ","s l - x -1 or 0","26","조용한 버전의 `PLDUX`.","","",""
"LDI_ALT","","#D708 cc:uint8","cell_parse","D708cc","[cc+1] LDI_l","s - x s'","34","LDI`에 대한 더 긴 인코딩입니다.","","",""
"LDU_ALT","","#D709 cc:uint8","cell_parse","D709cc","[cc+1] LDU_l","s - x s'","34","LDU`에 대한 더 긴 인코딩입니다.","","",""
"PLDI","","#D70A cc:uint8","cell_parse","D70Acc","[cc+1] PLDI","s - x","34","슬라이스_ `s`에서 부호화된 `cc+1` 비트 정수를 미리 로드합니다.","","",""
"PLDU","","#D70B cc:uint8","cell_parse","D70Bcc","[cc+1] PLDU","s - x","34","s`에서 부호 없는 `cc+1`비트 정수를 미리 로드합니다.","","",""
"LDIQ","","#D70C cc:uint8","cell_parse","D70Ccc","[cc+1] LDIQ","s - x s' -1 or s 0","34","조용한 버전의 `LDI`.","","",""
"LDUQ","","#D70D cc:uint8","cell_parse","D70Dcc","[cc+1] LDUQ","s - x s' -1 or s 0","34","조용한 버전의 `LDU`.","","",""
"PLDIQ","","#D70E cc:uint8","cell_parse","D70Ecc","[cc+1] PLDIQ","s - x -1 or 0","34","조용한 버전의 `PLDI`.","","",""
"PLDUQ","","#D70F cc:uint8","cell_parse","D70Fcc","[cc+1] PLDUQ","s - x -1 or 0","34","조용한 버전의 `PLDU`.","","",""
"PLDUZ","","#D714_ c:uint3","cell_parse","D714_c","[32(c+1)] PLDUZ","s - s x","26","0 <= c <= 7`에 대해 _Slice_ `s`의 첫 번째 `32(c+1)` 비트를 부호 없는 정수 `x`에 미리 로드합니다. s`가 필요보다 짧으면 누락된 비트는 0으로 간주합니다. 이 연산은 `IFBITJMP` 및 유사한 명령어와 함께 사용하도록 되어 있습니다.","","",""
"LDSLICEX","","#D718","cell_parse","D718","LDSLICEX","s l - s'' s'","26","슬라이스_ `s`의 첫 번째 `0 <= l <= 1023` 비트를 별도의 _Slice_ `s''`로 로드하고 나머지 `s`를 `s'`로 반환합니다.","","",""
"PLDSLICEX","","#D719","cell_parse","D719","PLDSLICEX","s l - s''","26","s`의 첫 번째 `0 <= l <= 1023` 비트를 `s''`로 반환합니다.","","",""
"LDSLICEXQ","","#D71A","cell_parse","D71A","LDSLICEXQ","s l - s'' s' -1 or s 0","26","조용한 버전의 `LDSLICEX`.","","",""
"PLDSLICEXQ","","#D71B","cell_parse","D71B","PLDSLICEXQ","s l - s' -1 or 0","26","LDSLICEXQ`의 조용한 버전입니다.","","",""
"LDSLICE_ALT","","#D71C cc:uint8","cell_parse","D71Ccc","[cc+1] LDSLICE_l","s - s'' s'","34","LDSLICE`에 대한 더 긴 인코딩입니다.","","",""
"PLDSLICE","","#D71D cc:uint8","cell_parse","D71Dcc","[cc+1] PLDSLICE","s - s''","34","s`의 첫 번째 `0 < cc+1 <= 256` 비트를 `s''`로 반환합니다.","","",""
"LDSLICEQ","","#D71E cc:uint8","cell_parse","D71Ecc","[cc+1] LDSLICEQ","s - s'' s' -1 or s 0","34","LDSLICE`의 조용한 버전입니다.","","",""
"PLDSLICEQ","","#D71F cc:uint8","cell_parse","D71Fcc","[cc+1] PLDSLICEQ","s - s'' -1 or 0","34","조용한 버전의 `PLDSLICE`.","","",""
"SDCUTFIRST","","#D720","cell_parse","D720","SDCUTFIRST","s l - s'","26","s`의 첫 번째 `0 <= l <= 1023` 비트를 반환합니다. 이는 `PLDSLICEX`와 같습니다.","","",""
"SDSKIPFIRST","","#D721","cell_parse","D721","SDSKIPFIRST","s l - s'","26","첫 번째 `0 <= l <= 1023` 비트를 제외한 모든 `s` 비트를 반환합니다. 이는 `LDSLICEX` `NIP`와 동일합니다.","","",""
"SDCUTLAST","","#D722","cell_parse","D722","SDCUTLAST","s l - s'","26","마지막 `0 <= l <= 1023` 비트의 `s`를 반환합니다.","","",""
"SDSKIPLAST","","#D723","cell_parse","D723","SDSKIPLAST","s l - s'","26","마지막 `0 <= l <= 1023` 비트의 `s`를 제외한 모든 비트를 반환합니다.","","",""
"SDSUBSTR","","#D724","cell_parse","D724","SDSUBSTR","s l l' - s'","26","오프셋 `0 <= l' <= 1023`에서 시작하여 `s`의 `0 <= l <= 1023` 비트를 반환하여 `s`의 데이터에서 비트 부분 문자열을 추출합니다.","","",""
"SDBEGINSX","","#D726","cell_parse","D726","SDBEGINSX","s s' - s''","26","s`가 (데이터 비트가) `s'로 시작하는지 확인하고, 성공하면 `s`에서 `s`를 제거합니다. 실패하면 셀 역직렬화 예외를 던집니다. 원시 `SDPFXREV`는 `SDBEGINSX`의 조용한 버전으로 간주할 수 있습니다.","","",""
"SDBEGINSXQ","","#D727","cell_parse","D727","SDBEGINSXQ","s s' - s'' -1 or s 0","26","SDBEGINSX`의 조용한 버전입니다.","","",""
"SDBEGINS","","#D72A_ x:(## 7) sss:((8 * x + 3) * Bit)","cell_parse","D72A_xsss","[slice] SDBEGINS","s - s''","31","s`가 길이 `8x+3`(연속 비트 가정)의 상수 비트 문자열 `sss`로 시작하는지, 여기서 `0 <= x <= 127`인지 확인하고, 성공하면 `s`에서 `sss`를 제거합니다.","","",""
"SDBEGINSQ","","#D72E_ x:(## 7) sss:((8 * x + 3) * Bit)","cell_parse","D72E_xsss","[slice] SDBEGINSQ","s - s'' -1 or s 0","31","SDBEGINS`의 조용한 버전입니다.","","",""
"SCUTFIRST","","#D730","cell_parse","D730","SCUTFIRST","s l r - s'","26","첫 번째 `0 <= l <= 1023` 비트와 `s`의 첫 번째 `0 <= r <= 4` 참조를 반환합니다.","","",""
"SSKIPFIRST","","#D731","cell_parse","D731","SSKIPFIRST","s l r - s'","26","s`의 첫 번째 `l` 비트와 `r` 참조를 제외한 모든 `s` 비트를 반환합니다.","","",""
"SCUTLAST","","#D732","cell_parse","D732","SCUTLAST","s l r - s'","26","마지막 `0 <= l <= 1023` 데이터 비트와 `s`의 마지막 `0 <= r <= 4` 참조를 반환합니다.","","",""
"SSKIPLAST","","#D733","cell_parse","D733","SSKIPLAST","s l r - s'","26","s`의 마지막 `l` 비트와 `r` 참조를 제외한 모든 `s`를 반환합니다.","","",""
"SUBSLICE","","#D734","cell_parse","D734","SUBSLICE","s l r l' r' - s'","26","슬라이스_ `s`에서 첫 번째 `0 <= l' <= 1023` 비트와 첫 번째 `0 <= r' <= 4` 참조를 건너뛴 후 `0 <= l' <= 1023` 비트와 `0 <= r' <= 4` 레퍼런스를 반환합니다.","","",""
"SPLIT","","#D736","cell_parse","D736","SPLIT","s l r - s' s''","26","s`에서 첫 번째 `0 <= l <= 1023` 데이터 비트와 첫 번째 `0 <= r <= 4` 참조를 `s`로 분할하여 나머지 `s`를 `s''`로 반환합니다.","","",""
"SPLITQ","","#D737","cell_parse","D737","SPLITQ","s l r - s' s'' -1 or s 0","26","조용한 버전의 '스플릿'입니다.","","",""
"XCTOS","","#D739","cell_parse","D739","","c - s ?","","일반 셀 또는 이색 셀을 일반 셀인 것처럼 _슬라이스_로 변환합니다. c`가 이국적인지 여부를 나타내는 플래그가 반환됩니다. 이 경우, 그 유형은 나중에 `s`의 처음 8비트에서 역직렬화할 수 있습니다.","","",""
"XLOAD","","#D73A","cell_parse","D73A","","c - c'","","이색 셀 `c`를 로드하고 일반 셀 `c'`를 반환합니다. c`가 이미 일반 셀이면, 아무것도 하지 않습니다. c`를 로드할 수 없으면 예외를 던집니다.","","",""
"XLOADQ","","#D73B","cell_parse","D73B","","c - c' -1 or c 0","","이색 셀 `c`를 로드하고 일반 셀 `c'`를 반환합니다. c`가 이미 일반 셀이면, 아무것도 하지 않습니다. c`를 로드할 수 없으면 0을 반환합니다.","","",""
"SCHKBITS","","#D741","cell_parse","D741","SCHKBITS","s l - ","26/76","슬라이스_ `s`에 최소 `l` 데이터 비트가 있는지 확인합니다. 그렇지 않은 경우 셀 역직렬화(즉, 셀 언더플로) 예외를 던집니다.","","",""
"SCHKREFS","","#D742","cell_parse","D742","SCHKREFS","s r - ","26/76","슬라이스_ `s`에 적어도 `r` 참조가 있는지 확인합니다.","","",""
"SCHKBITREFS","","#D743","cell_parse","D743","SCHKBITREFS","s l r - ","26/76","슬라이스_ `s`에 최소 `l` 데이터 비트와 `r` 참조가 있는지 확인합니다.","","",""
"SCHKBITSQ","","#D745","cell_parse","D745","SCHKBITSQ","s l - ?","26","슬라이스_ `s`에 `l` 이상의 데이터 비트가 있는지 확인합니다.","","",""
"SCHKREFSQ","","#D746","cell_parse","D746","SCHKREFSQ","s r - ?","26","슬라이스_ `s`에 적어도 `r` 참조가 있는지 확인합니다.","","",""
"SCHKBITREFSQ","","#D747","cell_parse","D747","SCHKBITREFSQ","s l r - ?","26","슬라이스_ `s`에 최소 `l` 데이터 비트와 `r` 참조가 있는지 확인합니다.","","",""
"PLDREFVAR","","#D748","cell_parse","D748","PLDREFVAR","s n - c","26","0 <= n <= 3`에 대한 _Slice_ `s`의 `n` 번째 셀 참조를 반환합니다.","","",""
"SBITS","","#D749","cell_parse","D749","SBITS","s - l","26","슬라이스_ `s`의 데이터 비트 수를 반환합니다.","","",""
"SREFS","","#D74A","cell_parse","D74A","SREFS","s - r","26","슬라이스_ `s`의 참조 개수를 반환합니다.","","",""
"SBITREFS","","#D74B","cell_parse","D74B","SBITREFS","s - l r","26","데이터 비트 수와 `s`의 참조 수를 모두 반환합니다.","","",""
"PLDREFIDX","","#D74E_ n:uint2","cell_parse","D74E_n","[n] PLDREFIDX","s - c","26","슬라이스_ `s`의 `n`번째 셀 참조를 반환합니다(여기서 `0 <= n <= 3`).","","",""
"PLDREF","PLDREFIDX","#D74C","cell_parse","D74C","PLDREF","s - c","26","슬라이스_의 첫 번째 셀 참조를 미리 로드합니다.","","",""
"LDILE4","","#D750","cell_parse","D750","LDILE4","s - x s'","26","리틀 엔디안 부호 32비트 정수를 로드합니다.","","",""
"LDULE4","","#D751","cell_parse","D751","LDULE4","s - x s'","26","리틀 엔디안 부호 없는 32비트 정수를 로드합니다.","","",""
"LDILE8","","#D752","cell_parse","D752","LDILE8","s - x s'","26","리틀 엔디안 부호 64비트 정수를 로드합니다.","","",""
"LDULE8","","#D753","cell_parse","D753","LDULE8","s - x s'","26","리틀 엔디안 부호 없는 64비트 정수를 로드합니다.","","",""
"PLDILE4","","#D754","cell_parse","D754","PLDILE4","s - x","26","리틀 엔디안 부호 32비트 정수를 미리 로드합니다.","","",""
"PLDULE4","","#D755","cell_parse","D755","PLDULE4","s - x","26","리틀 엔디안 부호 없는 32비트 정수를 미리 로드합니다.","","",""
"PLDILE8","","#D756","cell_parse","D756","PLDILE8","s - x","26","리틀 엔디안 부호 64비트 정수를 미리 로드합니다.","","",""
"PLDULE8","","#D757","cell_parse","D757","PLDULE8","s - x","26","리틀 엔디안 부호 없는 64비트 정수를 미리 로드합니다.","","",""
"LDILE4Q","","#D758","cell_parse","D758","LDILE4Q","s - x s' -1 or s 0","26","리틀 엔디안 부호 32비트 정수를 조용히 로드합니다.","","",""
"LDULE4Q","","#D759","cell_parse","D759","LDULE4Q","s - x s' -1 or s 0","26","리틀 엔디안 부호 없는 32비트 정수를 조용히 로드합니다.","","",""
"LDILE8Q","","#D75A","cell_parse","D75A","LDILE8Q","s - x s' -1 or s 0","26","리틀 엔디안 부호 64비트 정수를 조용히 로드합니다.","","",""
"LDULE8Q","","#D75B","cell_parse","D75B","LDULE8Q","s - x s' -1 or s 0","26","리틀 엔디안 부호 없는 64비트 정수를 조용히 로드합니다.","","",""
"PLDILE4Q","","#D75C","cell_parse","D75C","PLDILE4Q","s - x -1 or 0","26","리틀 엔디안 부호 32비트 정수를 조용히 미리 로드합니다.","","",""
"PLDULE4Q","","#D75D","cell_parse","D75D","PLDULE4Q","s - x -1 or 0","26","리틀 엔디안 부호 없는 32비트 정수를 조용히 미리 로드합니다.","","",""
"PLDILE8Q","","#D75E","cell_parse","D75E","PLDILE8Q","s - x -1 or 0","26","리틀 엔디안 부호 64비트 정수를 조용히 미리 로드합니다.","","",""
"PLDULE8Q","","#D75F","cell_parse","D75F","PLDULE8Q","s - x -1 or 0","26","리틀 엔디안 부호 없는 64비트 정수를 조용히 미리 로드합니다.","","",""
"LDZEROES","","#D760","cell_parse","D760","LDZEROES","s - n s'","26","s`에서 선행 0 비트의 개수 `n`을 반환하고 `s`에서 이러한 비트를 제거합니다.","","",""
"LDONES","","#D761","cell_parse","D761","LDONES","s - n s'","26","s`에서 앞의 1비트 개수 `n`을 반환하고 `s`에서 이 비트를 제거합니다.","","",""
"LDSAME","","#D762","cell_parse","D762","LDSAME","s x - n s'","26","s`에서 `0 <= x <= 1`과 같은 선행 비트의 개수 `n`을 반환하고 `s`에서 이러한 비트를 제거합니다.","","",""
"SDEPTH","","#D764","cell_parse","D764","SDEPTH","s - x","26","슬라이스_ `s`의 깊이를 반환합니다. s`에 참조가 없으면 `x=0`이고, 그렇지 않으면 `x`는 `s`에서 참조된 셀의 최대 깊이에 1을 더한 값입니다.","","",""
"CDEPTH","","#D765","cell_parse","D765","CDEPTH","c - x","26","셀_ `c`의 깊이를 반환합니다. c`에 참조가 없으면 `x=0`, 그렇지 않으면 `x`는 `c`에서 참조된 셀의 최대 깊이에 1을 더한 값입니다. c`가 _셀_이 아닌 _Null_이면 0을 반환합니다.","","",""
"EXECUTE","","#D8","cont_basic","D8","EXECUTE
CALLX","c - ","18","호출_ 또는 _실행_, 연속 `c`.","","",""
"JMPX","","#D9","cont_basic","D9","JMPX","c - ","18","점프_, 즉 연속 `c`로 제어를 전송합니다.
이전 현재 연속 `cc`의 나머지는 버려집니다.","","",""
"CALLXARGS","","#DA p:uint4 r:uint4","cont_basic","DApr","[p] [r] CALLXARGS","c - ","26","호출_연속 `c`에 `p` 매개변수를 사용하고 `r` 반환 값을 기대하는 경우
`0 <= p <= 15`, `0 <= r <= 15`","","",""
"CALLXARGS_VAR","","#DB0 p:uint4","cont_basic","DB0p","[p] -1 CALLXARGS","c - ","26","0 <= p <= 15` 매개변수와 함께 `c`를 호출하여 임의의 수의 반환값을 기대합니다.","","",""
"JMPXARGS","","#DB1 p:uint4","cont_basic","DB1p","[p] JMPXARGS","c - ","26","연속 `c`로 _점프_하여 현재 스택의 최상위 `0 <= p <= 15` 값만 전달합니다(현재 스택의 나머지는 버려짐).","","",""
"RETARGS","","#DB2 r:uint4","cont_basic","DB2r","[r] RETARGS","","26","현재 스택에서 가져온 `0 <= r <= 15` 반환값을 사용하여 `c0`으로 _Return_을 반환합니다.","","",""
"RET","","#DB30","cont_basic","DB30","RET
RETTRUE","","26","c0`의 연속으로 _반환_합니다. 현재 연속의 나머지 `cc`는 버려집니다.
대략 `c0 PUSHCTR` `JMPX`와 동일합니다.","","",""
"RETALT","","#DB31","cont_basic","DB31","RETALT
RETFALSE","","26","c1`의 연속으로 _반환_합니다.
대략 `c1 PUSHCTR` `JMPX`와 동일합니다.","","",""
"BRANCH","","#DB32","cont_basic","DB32","BRANCH
RETBOOL","f - ","26","정수 `f!=0`이면 `RETTRUE`를, `f=0`이면 `RETFALSE`를 수행합니다.","","",""
"CALLCC","","#DB34","cont_basic","DB34","CALLCC","c - ","26","현재 연속으로 호출_은 `c`로 제어권을 이전하여 `cc`의 이전 값을 버리거나 새로운 `c0`에 쓰는 대신 `c`의 스택으로 밀어 넣습니다.","","",""
"JMPXDATA","","#DB35","cont_basic","DB35","JMPXDATA","c - ","26","CALLCC`와 비슷하지만, 현재 연속의 나머지 부분(`cc`의 이전 값)은 `c` 스택에 밀어 넣기 전에 _Slice_로 변환됩니다.","","",""
"CALLCCARGS","","#DB36 p:uint4 r:uint4","cont_basic","DB36pr","[p] [r] CALLCCARGS","c - ","34","CALLXARGS`와 유사하지만 `cc`의 이전 값(원래 스택의 상위 `0 <= p <= 15` 값과 함께)을 새로 호출된 연속 `c`의 스택으로 밀어넣어 `cc.nargs`를 `-1 <= r <= 14`로 설정합니다.","","",""
"CALLXVARARGS","","#DB38","cont_basic","DB38","CALLXVARARGS","c p r - ","26","CALLXARGS`와 비슷하지만 스택에서 `-1 <= p,r <= 254`를 취합니다. 다음 세 연산도 `-1...254` 범위에서 스택에서 `p`와 `r`을 가져옵니다.","","",""
"RETVARARGS","","#DB39","cont_basic","DB39","RETVARARGS","p r - ","26","RETARGS`와 유사합니다.","","",""
"JMPXVARARGS","","#DB3A","cont_basic","DB3A","JMPXVARARGS","c p r - ","26","JMPXARGS`와 유사합니다.","","",""
"CALLCCVARARGS","","#DB3B","cont_basic","DB3B","CALLCCVARARGS","c p r - ","26","CALLCCARGS`와 유사합니다.","","",""
"CALLREF","","#DB3C c:^Cell","cont_basic","DB3C","[ref] CALLREF","","126/51","PUSHREFCONT` `CALLX`에 해당합니다.","","",""
"JMPREF","","#DB3D c:^Cell","cont_basic","DB3D","[ref] JMPREF","","126/51","PUSHREFCONT` `JMPX`에 해당합니다.","","",""
"JMPREFDATA","","#DB3E c:^Cell","cont_basic","DB3E","[ref] JMPREFDATA","","126/51","PUSHREFCONT` `JMPXDATA`에 해당합니다.","","",""
"RETDATA","","#DB3F","cont_basic","DB3F","RETDATA","","26","c0 PUSHCTR` `JMPXDATA`에 해당합니다. 이런 식으로 현재 연속의 나머지 부분은 _슬라이스_로 변환되어 호출자에게 반환됩니다.","","",""
"IFRET","","#DC","cont_conditional","DC","IFRET
IFNOT:","f - ","18","RET`를 수행하지만, 정수 `f`가 0이 아닌 경우에만 수행합니다. f`가 `NaN`이면 정수 오버플로 예외가 발생합니다.","","",""
"IFNOTRET","","#DD","cont_conditional","DD","IFNOTRET
IF:","f - ","18","정수 `f`가 0인 경우에만 `RET`를 수행합니다.","","",""
"IF","","#DE","cont_conditional","DE","IF","f c - ","18","c`에 대해 `EXECUTE`를 수행합니다(즉, `c`를 _executes_). 단, 정수 `f`가 0이 아닌 경우에만 수행합니다. 그렇지 않으면 두 값을 모두 버립니다.","","",""
"","","","cont_conditional","DE","IF:<{ code }>
<{ code }>IF","f -","","{ code }> CONT` `IF`에 해당합니다.","","",""
"IFNOT","","#DF","cont_conditional","DF","IFNOT","f c - ","18","연속 `c`를 실행하지만 정수 `f`가 0인 경우에만 실행합니다. 그렇지 않으면 두 값을 모두 버립니다.","","",""
"","","","cont_conditional","DF","IFNOT:<{ code }>
<{ code }>IFNOT","f -","","{ code }> CONT` `IFNOT`에 해당합니다.","","",""
"IFJMP","","#E0","cont_conditional","E0","IFJMP","f c - ","18","c`로 점프합니다(`JMPX`와 유사). 단, `f`가 0이 아닌 경우에만 점프합니다.","","",""
"","","","cont_conditional","E0","IFJMP:<{ code }>","f -","","{ code }> CONT` `IFJMP`에 해당합니다.","","",""
"IFNOTJMP","","#E1","cont_conditional","E1","IFNOTJMP","f c - ","18","c`로 점프합니다(`JMPX`와 유사). 단, `f`가 0인 경우에만 점프합니다.","","",""
"","","","cont_conditional","E1","IFNOTJMP:<{ code }>","f -","","{ code }> CONT` `IFNOTJMP`에 해당합니다.","","",""
"IFELSE","","#E2","cont_conditional","E2","IFELSE","f c c' - ","18","정수 `f`가 0이 아닌 경우 `c`를 실행하고, 그렇지 않으면 `c'`를 실행합니다. CONDSELCHK` `EXECUTE`와 동일합니다.","","",""
"","","","cont_conditional","E2","IF:<{ code1 }>ELSE<{ code2 }>","f -","","{ code1 }> CONT` `<{ code2 }> CONT` `IFELSE`에 해당합니다.","","",""
"IFREF","","#E300 c:^Cell","cont_conditional","E300","[ref] IFREF","f - ","26/126/51","셀 참조가 실제로 _슬라이스_에 로드되지 않고 `f=0`인 경우 일반 _연속_으로 변환되는 최적화를 통해 `PUSHREFCONT` `IF`와 동일합니다.
이 프리미티브의 가스 소비량은 `f=0` 여부와 이전에 참조가 로드되었는지 여부에 따라 달라집니다.
연속을 참조로 받아들이는 다른 프리미티브에도 비슷한 설명이 적용됩니다.","","",""
"IFNOTREF","","#E301 c:^Cell","cont_conditional","E301","[ref] IFNOTREF","f - ","26/126/51","PUSHREFCONT` `IFNOT`에 해당합니다.","","",""
"IFJMPREF","","#E302 c:^Cell","cont_conditional","E302","[ref] IFJMPREF","f - ","26/126/51","PUSHREFCONT` `IFJMP`와 동일합니다.","","",""
"IFNOTJMPREF","","#E303 c:^Cell","cont_conditional","E303","[ref] IFNOTJMPREF","f - ","26/126/51","PUSHREFCONT` `IFNOTJMP`에 해당합니다.","","",""
"CONDSEL","","#E304","cont_conditional","E304","CONDSEL","f x y - x or y","26","정수 `f`가 0이 아닌 경우 `x`를 반환하고, 그렇지 않으면 `y`를 반환합니다. x`와 `y`에는 타입 검사가 수행되지 않으므로 조건부 스택 연산과 비슷합니다. 대략 `ROT` `ISZERO` `INC` `ROLLX` `NIP`와 동일합니다.","","",""
"CONDSELCHK","","#E305","cont_conditional","E305","CONDSELCHK","f x y - x or y","26","CONDSEL`과 동일하지만, 먼저 `x`와 `y`의 유형이 같은지 확인합니다.","","",""
"IFRETALT","","#E308","cont_conditional","E308","IFRETALT","f -","26","정수 `f!=0`이면 `RETALT`를 수행합니다.","","",""
"IFNOTRETALT","","#E309","cont_conditional","E309","IFNOTRETALT","f -","26","정수 `f=0`이면 `RETALT`를 수행합니다.","","",""
"IFREFELSE","","#E30D c:^Cell","cont_conditional","E30D","[ref] IFREFELSE","f c -","26/126/51","셀 참조가 실제로 _슬라이스_에 로드되지 않고 `f=0`인 경우 일반 _연속_으로 변환되는 최적화를 통해 `PUSHREFCONT` `SWAP` `IFELSE`와 동일합니다. 다음 두 프리미티브에도 비슷한 설명이 적용됩니다. 셀은 필요한 경우에만 연속으로 변환됩니다.","","",""
